Sample Name,DB,DOHH2,FARAGE,HBL1,KARPAS422,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,RIVA,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,WSU_DLCL2
CAPN2,0.949024476,1.891975584,2.037471138,1.335737847,1.53636271,1.003862061,1.519382822,1.412170911,2.232390878,1.206175284,3.331681527,1.035731897,2.194745419,1.003544188,1.95617507,0.971139461,0.848946884,1.916594293,1.699899539,1.688141485,1.548314823
CAPN3,0.944379571,2.036239692,1.924026688,2.137241761,1.585494315,0.776354671,1.509671485,2.534716834,2.088221333,1.859673236,1.53839272,1.240293012,2.272605519,1.568495798,1.644421209,0.74810249,0.94677024,1.930174418,1.389324225,1.85991137,2.010469246
CAPN5,1.0052804,1.360961402,1.31013949,1.458229848,1.078178275,0.99534621,2.158252131,1.421612467,1.764974932,1.06464841,1.319421465,1.627971862,1.792701002,1.490536197,2.182589837,1.363346126,0.578793455,2.150360264,1.282242916,1.590962642,1.679823949
CAPN6,0.801971425,1.389976038,1.822227755,1.175222956,1.712857027,0.723418596,1.234070868,0.407372028,1.801027114,0.25704218,1.499590636,1.171136068,1.694015391,0.444236177,1.782723908,-0.073827685,0.42752578,1.976484798,1.037141707,1.517922767,1.422197539
CAPN7,2.103649138,2.392480032,2.345188435,2.479243851,2.413114307,2.090014476,2.234070868,2.18444962,2.113677722,2.314948403,2.199641648,2.511792603,2.369728892,2.679448889,2.260137518,2.566924706,2.284355329,2.181691229,2.194749561,2.714419833,2.491229861
CAPNS1,2.848577229,2.565968807,2.938308945,3.154985942,2.651328479,2.734926387,2.644987961,2.861652136,2.658564032,2.600813442,2.451118796,2.868292731,2.758877563,2.991895527,2.754449453,2.752129247,2.736564185,2.632817125,2.844112643,2.799846414,2.857044036
CARD11,2.580122675,2.38834808,2.316224739,2.589788707,2.392045495,1.819684733,2.321744651,1.096582195,2.357942592,2.755207582,1.770512426,2.281485238,2.255187867,2.351546746,2.239794939,2.758797334,2.644204729,2.557857664,2.032776902,2.260449359,2.680996135
CARM1,3.240029419,2.834382012,3.078046199,2.708567135,2.834235953,2.840382818,2.796222733,3.04259506,2.827996414,2.744775786,3.200019366,2.705645663,2.997183282,2.786843887,2.686252354,3.139641774,2.830407822,2.844527683,2.669852011,2.801836692,2.795968799
CASP1,1.816002717,3.626088099,2.699142418,2.499622533,2.798899729,1.635463426,2.517779272,2.275951164,2.610301428,1.431606919,2.532287203,2.127098558,2.828848734,2.183115788,3.086029076,1.907620241,1.193442574,2.792320996,2.380221912,2.855546564,2.497029874
CASP10,1.099748263,2.526394593,1.951041415,1.820117674,1.740180154,1.260537781,2.253393921,2.396788883,2.232663419,0.124416615,1.231131707,0.909614613,2.274734418,1.784804217,2.324907808,0.625142319,0.578793455,2.366225592,1.408209569,1.974966873,1.65153431
CASP12,0.984496794,1.855621872,1.9075116,1.769264975,2.064770881,0.940414843,1.473269498,1.051555225,1.764174389,0.53459108,1.248358109,1.28428328,2.14816446,0.687274226,2.025134816,1.215193403,0.514675955,1.861919396,1.690354221,2.103775859,1.727922656
CASP14,0.894974715,1.97278123,1.924026688,1.628143272,1.15445453,0.746899692,1.421671774,0.453129519,2.164033227,0.208737501,1.438689807,0.569076076,2.274521997,0.483154243,1.255436043,-0.160977861,0.504691734,1.827112329,0.983266326,2.048371106,1.72204578
CASP2,2.820498042,2.753050525,2.558097703,2.548314457,2.497935821,2.79249715,2.593105675,2.628931151,2.558834747,2.667952544,2.363413611,2.984049424,2.965774818,2.516348153,2.612904158,2.721230344,2.675635338,2.614325769,2.814084905,2.636733578,2.617073692
CASP3,2.640632591,2.820737566,3.298008552,3.164752355,2.403529712,2.71019033,2.366154446,2.6427134,2.64443939,2.348431426,2.500266581,2.872066307,2.806775124,2.447615918,2.666069836,2.283413955,2.666755722,2.596604952,2.619394512,3.028457957,3.028017679
CASP4,1.151987881,2.721382674,2.490824631,2.421977668,2.141736793,0.593084828,2.695616333,2.541856083,2.072356697,2.160988483,1.54575382,2.421497974,2.430908726,2.536342482,2.543572677,0.963960876,0.924301722,2.295773673,1.595450191,2.46395733,1.682424523
CASP5,1.281247992,2.261477491,1.844586085,1.526226927,2.270411097,1.315307292,1.675456968,1.441391115,2.311890072,0.859102172,2.184815997,1.315042643,2.179414258,1.324692473,2.273660863,1.35312696,1.16125789,2.165102033,1.897479714,1.993450278,1.724406082
CASP6,2.072111208,1.915505623,2.17313374,1.785155571,2.232663112,1.835502012,2.050610593,2.188728418,2.05711673,1.704200212,2.329345156,2.595550972,2.350896634,2.975315743,1.829270307,1.805424631,1.650097751,2.170702469,2.122610677,2.154377596,2.14727428
CASP7,0.507375539,2.563796342,2.314909093,2.405256285,2.28597416,2.170863764,2.232421125,2.372730542,2.383514197,2.133016787,2.24956281,2.196246788,2.415213263,2.573059355,1.784475097,0.834169637,1.828830566,2.079648496,2.065848486,1.927478137,2.012898872
CASP8,2.460907837,2.024747961,2.576518381,2.673253193,2.416475365,2.348769162,2.432884251,2.522920907,2.400873195,2.205661022,2.242773032,2.395767775,2.051112311,2.713457159,2.810423495,2.432431288,2.196944137,2.635823896,1.784035264,2.581172245,2.20387488
CASP8AP2,2.399961148,2.408342484,2.559300319,2.346104513,2.474865711,2.495223755,2.135872529,2.034434288,2.509174234,2.172525328,2.0872072,2.601733204,2.492186184,2.348681218,1.84093514,2.204510124,2.557859548,1.937489024,2.059019816,2.525023107,2.320541091
CASP9,1.445718638,1.488655074,1.551270226,1.599865597,1.502406345,1.234062885,1.21941858,1.347076126,1.902331375,1.031367023,1.504968965,1.491133902,1.866043997,1.810659135,1.700902565,1.469110854,1.29773454,1.820634596,1.601413138,1.588265152,1.692673836
CAV1,0.599145913,2.742749032,2.063623857,1.544710332,0.634480775,0.894114823,1.468496984,1.289875484,1.317976832,1.252446429,3.175899555,1.618847693,1.469191084,-0.282762551,2.355525127,0.163533231,0.757714004,2.355970228,2.116624442,1.690286153,1.535777617
CAV2,1.203783327,1.750288604,1.794308274,1.532475876,1.806044724,1.417536098,1.647775739,1.112728831,2.242096186,1.187803594,2.442409697,1.255456953,2.388596082,0.988304222,2.149948016,1.347177628,0.862449355,2.192912615,1.670610163,1.882477198,1.662529694
CBL,2.837132241,2.223309657,2.338501134,2.298037999,2.204504535,2.018782041,2.531795086,2.357484354,2.170054189,1.92523185,1.213193692,2.405219274,2.314870379,2.473873558,2.353879625,2.610364602,2.479107023,2.553928358,1.208380463,2.498234199,2.420542181
CBLC,-0.723073382,-0.175281305,-0.056950074,0.261409104,NaN,NaN,NaN,0.206457185,-0.191673647,NaN,0.470206858,-0.209075174,0.110169141,NaN,NaN,NaN,0.1016722,-0.56675523,NaN,0.337032625,0.236560962
CBX3,3.490032463,3.339249846,3.255650365,3.00840636,3.437634295,3.611722923,3.440768883,3.544421215,3.549136267,3.57649891,3.624661265,3.615087865,3.417298273,3.387111952,3.228029264,3.315644473,3.753121252,3.259988864,3.701838514,3.247093492,3.279759448
CBX5,2.822790166,2.862145193,2.849538891,2.725302093,2.718460904,3.404978066,3.056412502,3.215482927,3.344569059,3.150453493,3.544450198,3.473894627,3.157082177,3.181801509,3.072150689,3.162801171,3.036823681,3.280303045,3.320725588,3.150910009,2.604382614
CCBL2,2.422589089,2.231258875,1.986692846,2.066229782,1.962633771,2.367966594,2.380198904,2.49988474,1.99396293,2.084819433,2.124062295,2.334815571,2.310589664,2.270715917,2.236104029,2.275007992,2.169858062,2.341193292,2.23876639,2.204631042,1.87836546
CCDC103,0.930139132,1.258088442,0.822227755,0.87064768,0.895082114,0.871838429,0.773111273,0.3377361,1.52710475,0.784468553,1.594058499,0.809149646,1.2862604,-0.060913801,0.667902305,0.853262579,0.570193283,1.304428378,1.00328344,1.240122612,0.989888629
CCL1,0.122024658,1.729839681,0.700011877,0.817711604,1.002457561,0.681220916,1.284536759,0.180128247,1.703196009,0.25704218,1.042303626,0.121918045,1.648886467,-0.060913801,0.760216567,-0.27012233,0.21364596,1.507573513,0.855587552,1.119186617,0.81059223
CCL11,0.481046601,1.852068303,1.620396119,1.620611965,0.994105486,0.715300706,1.462456629,0.588792121,2.095754817,0.358499821,1.022469381,0.670102656,2.265071101,0.300814035,1.079344784,0.316143394,0.42752578,1.640070646,0.949186537,1.876944709,1.772276932
CCL13,0.519964667,2.150285666,1.717045216,1.955136053,1.348624183,0.817099639,1.534070509,0.629220778,2.043854799,1.042746569,1.534664848,0.826640378,2.351430932,0.053029551,1.779200201,0.556877488,0.533981111,1.954818674,1.058331006,1.955080721,2.011685758
CCL14,0.944379571,1.601964221,1.583673312,1.352489573,1.377467609,1.062906844,1.396926789,0.356219506,2.031476035,0.019681264,1.387537285,0.837921389,2.060255691,-0.106671292,1.685813895,0.389929608,0.439425003,1.891630781,-1.042039539,1.763001357,1.562213433
CCL15,-1.024103378,0.200382309,-0.42492686,-0.069584115,0.127396297,-0.008975164,0.341152177,-0.325021732,0.692932934,-0.24356017,1.180606325,-1.054173214,0.242794706,-0.361943797,-0.911881291,-0.638099115,-0.52671673,0.672126859,-0.439979548,-0.073141841,-0.240560293
CCL16,-1.024103378,0.000809954,0.700011877,-0.215712151,-1.018731738,-1.008975164,NaN,0.05518951,0.44514845,NaN,NaN,0.091954822,-1.035958895,-0.106671292,0.343391214,NaN,0.126495784,NaN,-0.042039539,-0.073141841,0.060469703
CCL17,0.231169127,1.793201643,0.760709717,1.102351184,0.614736717,0.829873927,0.477990137,0.532310765,1.366634836,0.611757035,2.600647847,0.48989483,1.202087208,0.354059547,0.679183316,-0.001277018,0.561419359,1.070066868,0.236714062,1.153642127,0.81059223
CCL18,0.850957886,1.865123224,1.903452744,1.636767843,1.216796708,0.920443762,1.428302353,0.821106304,2.262662969,0.469650273,1.533415079,0.864904878,2.237042377,-0.060913801,1.350569798,0.115228551,0.663614968,1.900606187,0.549025068,2.053962958,1.757262788
CCL19,-0.546982123,1.771661966,0.978765478,1.228332645,-0.173633698,-0.054732654,1.34595106,-0.069749227,1.203361371,0.092231932,-0.529793142,-0.276021964,1.978561644,-0.215815761,0.996603727,-0.638099115,0.31838131,0.734274766,0.435081716,1.283157244,1.356036803
CCL2,1.072806635,2.008344372,1.955284382,1.782547187,1.638324114,1.111598768,1.520448576,0.73188312,2.240493622,0.53459108,1.875610142,1.032186617,2.270466133,0.507287923,1.879107184,0.282719639,0.642075291,2.073063162,0.665530637,1.991316149,1.822960707
CCL20,1.089839974,1.917263903,1.637027984,1.361779649,1.698105985,1.224020947,1.541232182,1.231280769,2.053015713,0.522356624,1.76024147,1.144483873,2.031111961,0.694961055,1.784475097,1.033998743,1.044409547,1.876768517,1.254625651,1.307069401,1.513405573
CCL21,0.577956614,1.676740974,1.26526922,1.566760473,1.074689947,0.925523288,1.555210682,0.578068255,1.813363793,0.483438558,1.512913597,0.75200676,2.243023222,-0.361943797,1.261304977,-0.33706912,0.494472569,1.377727442,1.065170431,1.602898203,1.731410984
CCL22,0.910395073,2.859096448,1.918153345,2.324867565,1.216796708,1.205868684,1.385459601,1.35075661,2.136365999,1.127507692,3.988685702,1.600003328,2.107992222,0.912214053,1.393470078,0.547537462,1.114261328,2.148133108,0.790469374,2.335340409,1.834986669
CCL23,0.867991225,1.590945589,1.711793707,1.470924118,1.37920827,0.954812664,1.514014466,0.638766096,2.195419428,1.171413178,1.569426954,0.694014813,2.07091165,1.56439865,1.572418548,0.697692987,0.619411306,1.90257578,1.08829423,1.805215792,1.563919896
CCL24,0.231169127,1.767346726,1.231490794,1.550700696,0.583328253,0.920443762,1.055916449,0.3377361,1.499997118,0.425446611,-0.161816356,0.536891393,2.333442519,-0.282762551,1.504759216,0.347177628,0.362584973,1.284503119,0.949186537,1.26645155,1.297258802
CCL25,-0.546982123,0.677503564,0.376705487,-0.136530905,NaN,NaN,0.356946444,1.330116703,0.071567787,-1.021711421,0.63653828,-0.577051959,0.194490027,1.189506201,0.430541389,-1.11522037,0.31838131,-1.043876485,0.764140435,0.4241828,NaN
CCL26,0.588680479,1.713319357,1.335997989,1.370875154,0.614736717,0.715300706,1.576306394,-0.069749227,1.865231204,0.154379838,1.174929192,0.121918045,2.296883372,0.115177458,1.100955933,0.163533231,0.362584973,1.74711199,0.897479714,1.605506586,1.429221323
CCL27,-0.024103378,-0.175281305,0.139344571,0.766559082,-0.064489229,NaN,-0.048818902,0.180128247,0.428115111,-1.021711421,0.646298117,0.678220546,0.194490027,NaN,-0.008791304,NaN,0.047314538,NaN,-1.042039539,NaN,0.303507752
CCL28,0.889710475,2.087762678,2.134580781,1.897562541,1.067628092,0.817099639,1.690825352,0.674978268,2.418809072,0.469650273,1.543313957,0.70925478,2.415827541,0.771595112,1.148816549,0.140052135,0.439425003,2.056149245,1.180676932,1.872045284,2.044434094
CCL3,1.226316624,1.543842731,1.438396,1.338170876,1.527810925,1.137152872,1.34595106,0.73188312,2.142780104,0.509767496,1.544535602,0.928098019,2.082305831,0.240116195,1.664460059,0.600782974,0.954008649,1.739312206,1.014865312,1.561767062,1.572353064
CCL4,1.483752494,1.898437045,0.353224391,0.848745838,1.873919295,0.663122694,1.32642892,0.578068255,0.770537792,2.395261752,0.07226685,2.060104083,1.436797555,0.960275498,0.873448544,1.917398391,1.429931849,0.447485209,-0.263888288,0.907834922,1.58551451
CCL5,0.788809979,1.742486697,1.854587994,1.653519569,1.074689947,0.904838689,1.413579096,1.638766096,1.862684015,0.702564449,1.59839065,0.971132651,2.157722135,1.085214235,1.70196053,-0.001277018,0.763317882,1.760944194,0.871774314,1.63806262,1.809626057
