Sample Name,DB,DOHH2,FARAGE,GRANTA519,HAIR_M,HBL1,HC_1,JEKO1,JVM2,KARPAS1718,KARPAS422,MAVER1,MEC1,MINO,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,REC1,RIVA,SP49,SP53,SSK41,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,UPN1,VL51,WSU_DLCL2
IL3,-0.245952127,1.018538721,0.097951886,0.024581728,0.306209487,1.168103215,1.015607872,0.281095321,-0.062587248,-0.244873752,0.303487556,-0.539635092,1.817371058,0.469839738,0.313244131,0.44126733,-0.546870481,1.390010585,0.092231932,1.172062551,0.892185463,0.149946769,0.418309542,0.547514624,0.075843868,1.535749937,-0.157823814,-0.3098213,-0.814190374,0.14997688,0.794972606,0.560020452,0.901304055,0.706327959,0.058640737,0.913254572
IL33,1.086486332,1.75984793,1.903452744,0.917687494,2.174537368,1.448929825,2.040913737,1.400281729,1.19867562,0.815824088,1.813777174,0.59602751,2.185670021,1.26135495,1.234062885,1.476814779,1.515084363,2.295700437,1.08887829,1.742821919,1.530243108,1.025008032,1.520577609,1.629156469,1.457560464,2.149299871,1.148601214,2.149194032,1.492234653,1.138395007,1.882980224,1.710008909,1.899325489,1.585505789,1.025848224,1.758352612
IL3RA,NaN,1.411587187,0.274043145,1.173520741,1.289176148,1.678603912,1.260022449,0.081522967,0.885581113,-0.545903748,NaN,0.88633364,1.491981717,NaN,0.195144819,-0.789181591,1.025226287,0.621239709,-0.067468911,-1.006914396,0.363911686,0.636022866,0.628009402,0.335425712,0.443820653,0.043222351,NaN,0.503092057,-1.11522037,0.047314538,0.628221373,0.13405172,NaN,0.208017405,1.580729137,NaN
IL4,0.915415875,1.71120942,1.452060325,0.978824238,1.440239401,2.017283959,1.694833818,1.166694576,1.564522463,0.207423919,1.127396297,1.020670151,2.400407812,0.654885839,0.64423735,1.121976017,1.044194126,1.518725819,0.208737501,2.352921086,1.356612447,1.276240559,1.377515471,0.682213198,1.505865144,2.069210533,0.562335489,1.639568707,0.99536934,0.656553114,1.063333485,0.757301011,1.978837123,1.127095498,1.127837762,1.891379003
IL4R,0.276926618,2.302382479,2.848383134,2.44468757,2.567014481,2.508399803,2.624490322,2.488063147,2.709917821,2.152196798,1.219314365,2.428536423,2.530108196,2.659382686,2.460846852,2.133803224,2.394972095,2.74003842,2.199702817,2.324107775,2.352359157,2.650063123,2.722398751,2.561022131,2.609446478,2.490509618,1.395452232,2.777161048,2.756877604,3.035814039,2.765009383,2.305095244,2.992437874,2.321292098,2.633618524,3.500315351
IL5,1.096470553,1.877797138,1.791678835,0.775580732,1.746149162,1.479769525,2.073780737,0.916155573,1.102508626,0.989812222,1.900869285,0.69081383,2.622845436,1.556866517,1.306995182,1.654081396,1.228861295,2.369228838,0.982609953,2.09380069,1.686130981,1.127670374,1.507361542,1.515785256,1.224549326,2.235417977,0.4953887,1.920627621,1.268594996,0.848946884,2.004565319,1.6437022,1.792723238,1.899982508,0.650716508,1.532128062
IL5RA,0.577956614,1.525854761,1.522833522,0.305408338,1.353634137,1.267161433,1.587704639,0.570543445,0.715564002,0.921457669,1.342996098,0.261997254,2.22973341,0.899188211,0.8660861,1.248244907,0.494522204,1.89764259,-0.118621434,1.396206125,1.216696555,0.758740143,1.230069394,1.215815809,0.84792097,1.772926973,-0.282762551,1.51462997,0.299752978,0.524435793,1.602527242,1.014865312,1.585550803,1.466894035,-0.079661961,1.574020223
IL6,1.250054471,1.912854784,1.853826741,1.000222382,1.299476105,1.209169486,1.977819311,0.665099552,1.161427563,0.762304832,1.623732782,0.84057615,2.622757156,1.722844381,1.32748457,1.767723678,0.895086356,2.360588876,0.710682339,1.817211438,1.390240625,1.244679862,1.633518497,1.70820138,1.100466343,2.176495066,0.687274226,1.665610508,0.640654486,0.857995013,2.015686933,1.498289936,1.850398221,1.950742537,0.608312659,1.894572359
IL6R,0.494410562,1.803583679,1.452060325,1.589570408,2.31677036,1.676382452,1.997376158,0.834850633,2.205170968,1.041432987,1.307604122,0.996080878,1.997951189,1.382991051,0.739212863,1.573489338,0.716370953,2.020957794,0.340016415,2.503228303,2.636236863,1.246856782,2.427936242,2.625295318,2.038449941,2.009755164,0.337026208,1.565239963,0.486839621,0.634651272,1.880919511,1.362794178,1.86780133,1.266822892,2.05467455,1.814435569
IL6ST,1.028975066,2.978038029,2.659887649,2.550568351,2.873326379,2.068944132,2.941607138,1.545167147,2.547540365,1.618449108,1.805394095,2.447285859,2.93618957,2.28107951,1.746899692,2.253000003,2.36339809,2.373189599,1.841611439,1.967597296,1.596484301,1.539112853,2.037618815,2.294467104,1.990098852,2.225779653,1.667439981,2.084630381,1.350162481,1.742796214,2.266391882,2.205197011,2.289125157,2.176033119,2.938101548,1.822021692
